schedule_id,flight_date,origin_airport,dest_airport,dept_time,arr_time,flight_id ,delay_time,flight_status_id 
SC000072261,1/4/2018,LAS,LAX,1328,1432,947,17,3
SC000072282,1/4/2018,LAS,MDW,825,1348,1546,-7,1
SC000072303,1/4/2018,LAS,OMA,2124,149,989,-6,1
SC000072324,1/4/2018,LAS,PHX,1605,1807,1944,-3,1
SC000072345,1/4/2018,LAS,SAN,647,742,1931,-13,1
SC000072366,1/4/2018,LAS,SJC,1924,2047,1352,-3,1
SC000072387,1/4/2018,LAS,SNA,1848,1939,1754,4,3
SC000072408,1/4/2018,LAX,BNA,1210,1744,5902,-16,1
SC000072429,1/4/2018,LAX,HOU,1349,1855,6327,0,2
SC000072450,1/4/2018,LAX,MDW,1834,12,5536,-13,1
SC000072471,1/4/2018,LAX,PHX,2142,2356,891,-9,1
SC000072492,1/12/2018,PHX,MSP,1246,1645,164,10,3
SC000072513,1/12/2018,PHX,PDX,1212,1417,198,7,3
SC000072534,1/12/2018,PHX,SDF,1148,1716,6332,51,3
SC000072555,1/12/2018,PHX,SMF,1248,1354,5475,9,3
SC000072576,1/12/2018,PIT,DAL,740,928,726,-27,1
SC000072597,1/12/2018,PNS,BNA,,,4013,,4
SC000072618,1/12/2018,RDU,ATL,607,729,215,-1,1
SC000072639,1/12/2018,RDU,MDW,1258,1347,633,7,3
SC000072660,1/12/2018,RNO,LAX,1929,2050,6134,0,2
SC000072681,1/12/2018,RSW,BWI,1835,2041,679,-29,1
SC000072702,1/12/2018,SAN,AUS,634,1104,274,-21,1
SC000072723,1/12/2018,SAN,LAS,1955,2105,1267,30,3
SC000072744,1/12/2018,SAN,OAK,812,940,1629,-10,1
SC000072765,1/12/2018,SAN,SEA,1859,2152,1450,97,3
SC000072786,1/18/2018,DAL,HOU,1809,1907,47,-3,1
SC000072807,1/18/2018,DAL,LGA,1827,2232,42,7,3
SC000072828,1/18/2018,DAL,MCO,824,1141,706,-9,1
SC000072849,1/18/2018,DAL,OKC,940,1031,1637,-9,1
SC000072870,1/18/2018,DAL,SAT,1333,1424,369,-16,1
SC000072891,1/18/2018,DAL,TUL,834,930,240,-5,1
SC000072912,1/18/2018,DCA,HOU,1334,1537,4013,-33,1
SC000072933,1/18/2018,DCA,TPA,1102,1315,668,-20,1
SC000072954,1/18/2018,DEN,BOI,1250,1441,162,-9,1
SC000072975,1/18/2018,DEN,EWR,1134,1717,433,32,3
SC000072996,1/18/2018,DEN,LAS,2231,2320,742,15,3
SC000073017,1/18/2018,DEN,MCI,1202,1428,1569,-7,1
SC000073038,1/18/2018,DEN,MSP,1442,1732,1456,-8,1
SC000073059,1/18/2018,DEN,PHL,1735,2300,718,10,3
SC000073080,1/18/2018,DEN,SAT,1059,1359,734,-6,1
SC000073101,1/18/2018,DEN,SMF,1249,1418,495,-7,1
SC000073122,1/18/2018,DSM,STL,630,727,2034,-13,1
SC000073143,1/18/2018,ELP,AUS,659,921,264,-14,1
SC000073164,1/18/2018,EWR,DEN,1812,2006,1790,-14,1
SC000073185,1/18/2018,FLL,BDL,1750,2041,1525,11,3
SC000073206,1/18/2018,FLL,DEN,1727,1944,897,-11,1
SC000073227,1/18/2018,FLL,MKE,1557,1802,5681,-18,1
